Obs,ABC1-Q03024,ABC1-C1DS84,ABC1-Q54456,ABC1-Q9RHT2,ABC1-Q9ZG94,ABC1-O67184,ABC1-Q9Z3C5,ABC1-O05693,ABC1-P23596,ABC1-O85350,ABC1-Q53368,ABC1-Q88RG3,ABC1-F0R9C2,ABC1-Q72J04,ABC1-P73239,ABC1-P18770,ABC1-O53645,ABC1-Q8T9W4,ABC1-Q9XUJ1,ABC1-P63391,ABC1-Q9NP58,ABC1-A3DCU1,ABC1-Q1LRE9,ABC1-O75027,ABC1-Q9LVM1,ABC2a-P72884,ABC2a-Q50863,ABC2a-Q1D3I3,ABC2a-Q48476,ABC2a-Q9I3V8,ABC2a-Q6E7E8,ABC2a-P42954,ABC2a-D1GQ17,ABC2a-P24586,ABC2a-B3FHE0,ABC2a-P42332,ABC2a-A8GZV2,ABC2a-P46903,ABC2a-Q8IUA7,ABC2a-B5YBB1,ABC2a-J8ABC0,ABC2a-B8D1W5,ABC2a-F8FLY7,ABC2a-Q53716,ABC2a-P94440,ABC2a-O30385,ABC2a-AKM77948,ABC2a-Q18BL2,ABC2a-E8R694,ABC2a-P50332,ABC2b-A9SCA8,ABC2b-Q9C6W5,ABC2b-Q84TH5,ABC2b-Q9C8J8,ABC2b-Q9C8K2,ABC2b-P10090,ABC2b-Q9UNQ0,ABC2b-Q8RXN0,ABC2b-Q9FNB5,ABC2b-P25371,ABC2b-Q9M3D6,ABC2b-I0DHI9,ABC2b-A9YWR6,ABC2b-D3GE74,ABC2b-Q9M2V7,ABC2b-Q55DW4,ABC2b-H9BZ66,ABC2b-G7LE38,ABC2b-Q9H221,ABC2b-A4HWI7,ABC2b-Q11180,ABC2b-A8WEV1,ABC2b-P45844,ABC2b-S6BKX3,ABC2b-Q9H222,ABC3-Q973J6,ABC3-E6N374,ABC3-Q58206,ABC3-Q8TM30,ABC3-Q8DQF8,ABC3-B8GHI2,ABC3-A8TDW7,ABC3-O34392,ABC3-RCX16582,ABC3-O31711,ABC3-Q73MJ2,ABC3-OLS22653,ABC3-Q8Y5F0,ABC3-Q8VUH2,ABC3-Q03RZ6,ABC3-O34697,ABC3-D6ZUW6,ABC3-B2J284,ABC3-OLS17115,ABC3-P75831,ABC3-RDE13438,ABC3-N9J6M5,ABC3-A3MWP1,ABC3-Q8RKC1,ABC3-Q9RL74
ABC1-Q03024,0.0,0.256140350877193,0.3192982456140351,0.33333333333333337,0.35789473684210527,0.3052631578947368,0.3649122807017544,0.38596491228070173,0.41052631578947374,0.3508771929824561,0.5578947368421052,0.5859649122807018,0.5614035087719298,0.5824561403508772,0.5719298245614035,0.5824561403508772,0.5929824561403509,0.5789473684210527,0.5754385964912281,0.6035087719298246,0.5894736842105264,0.543859649122807,0.5929824561403509,0.6035087719298246,0.5754385964912281,0.8933333333333333,0.832280701754386,0.832280701754386,0.9122807017543859,0.8824561403508772,0.8771929824561404,0.8866666666666667,0.9,0.8866666666666667,0.8852631578947369,0.8052631578947369,0.832280701754386,0.7947368421052632,0.8042105263157895,0.7715789473684211,0.7715789473684211,0.7635087719298246,0.8080701754385965,0.844561403508772,0.783859649122807,0.8,0.8350877192982455,0.8066666666666666,0.8231578947368421,0.7957894736842105,0.8161403508771929,0.8392982456140351,0.7985964912280702,0.8431578947368421,0.844561403508772,0.8189473684210526,0.8687719298245614,0.8147368421052632,0.828421052631579,0.8256140350877192,0.8256140350877192,0.8582456140350877,0.8161403508771929,0.7933333333333333,0.8431578947368421,0.8161403508771929,0.7957894736842105,0.8042105263157895,0.8175438596491228,0.8336842105263158,0.8350877192982455,0.832280701754386,0.8108771929824561,0.8270175438596491,0.840701754385965,0.7824561403508772,0.8028070175438596,0.7782456140350877,0.8094736842105263,0.7985964912280702,0.8014035087719298,0.7729824561403509,0.7891228070175439,0.8256140350877192,0.7715789473684211,0.8066666666666666,0.8312280701754386,0.7715789473684211,0.8052631578947369,0.7796491228070176,0.7473684210526316,0.7957894736842105,0.7933333333333333,0.7757894736842106,0.7796491228070176,0.7919298245614035,0.8066666666666666,0.8161403508771929,0.7947368421052632,0.7715789473684211
ABC1-C1DS84,0.3254237288135593,0.0,0.3254237288135593,0.3220338983050848,0.3525423728813559,0.3152542372881356,0.36610169491525424,0.423728813559322,0.3762711864406779,0.3593220338983051,0.5694915254237288,0.5864406779661018,0.6101694915254237,0.6101694915254237,0.5694915254237288,0.5593220338983051,0.5796610169491525,0.6033898305084746,0.576271186440678,0.6169491525423729,0.576271186440678,0.5627118644067797,0.5864406779661018,0.5898305084745763,0.5864406779661018,0.8722033898305085,0.8461016949152542,0.8461016949152542,0.8823728813559322,0.8576271186440678,0.8538983050847457,0.8498305084745763,0.8823728813559322,0.8942372881355932,0.8786440677966102,0.808135593220339,0.808135593220339,0.796271186440678,0.7925423728813559,0.7623728813559323,0.7766101694915254,0.7833898305084745,0.7715254237288136,0.8393220338983051,0.8186440677966101,0.8172881355932203,0.8132203389830508,0.7623728813559323,0.7949152542372881,0.7701694915254238,0.8145762711864406,0.840677966101695,0.808135593220339,0.8277966101694916,0.8301694915254237,0.811864406779661,0.88,0.7806779661016949,0.8172881355932203,0.8393220338983051,0.8132203389830508,0.8498305084745763,0.811864406779661,0.7871186440677966,0.8210169491525424,0.8328813559322034,0.8223728813559322,0.7664406779661017,0.8223728813559322,0.823728813559322,0.823728813559322,0.8576271186440678,0.8094915254237288,0.8264406779661017,0.8498305084745763,0.7871186440677966,0.7742372881355932,0.7701694915254238,0.7715254237288136,0.7857627118644068,0.7989830508474576,0.7623728813559323,0.751864406779661,0.8108474576271186,0.763728813559322,0.7701694915254238,0.8355932203389831,0.7688135593220339,0.7623728813559323,0.8132203389830508,0.7650847457627119,0.7728813559322034,0.7976271186440678,0.7806779661016949,0.796271186440678,0.7806779661016949,0.8172881355932203,0.796271186440678,0.8027118644067797,0.7820338983050847
ABC1-Q54456,0.34246575342465757,0.273972602739726,0.0,0.339041095890411,0.3527397260273972,0.34246575342465757,0.3664383561643836,0.3938356164383562,0.38013698630136983,0.34589041095890416,0.5650684931506849,0.5821917808219178,0.5821917808219178,0.636986301369863,0.6198630136986301,0.589041095890411,0.5993150684931507,0.636986301369863,0.589041095890411,0.5821917808219178,0.5582191780821918,0.6198630136986301,0.6232876712328768,0.6335616438356164,0.6061643835616438,0.8708904109589041,0.8801369863013698,0.8801369863013698,0.8996575342465754,0.8482876712328767,0.8547945205479452,0.8575342465753425,0.8996575342465754,0.9143835616438356,0.8547945205479452,0.7955479452054794,0.814041095890411,0.7890410958904109,0.8075342465753425,0.7904109589041096,0.7849315068493151,0.7849315068493151,0.8089041095890411,0.839041095890411,0.8061643835616439,0.8126712328767123,0.8284246575342465,0.7955479452054794,0.821917808219178,0.7917808219178082,0.7849315068493151,0.8575342465753425,0.8167808219178082,0.8363013698630137,0.8352739726027397,0.8232876712328767,0.8904109589041096,0.8284246575342465,0.8496575342465753,0.8469178082191781,0.8191780821917809,0.8996575342465754,0.8455479452054795,0.8205479452054795,0.8469178082191781,0.8376712328767123,0.8167808219178082,0.7650684931506849,0.8181506849315068,0.8325342465753425,0.8154109589041096,0.8205479452054795,0.8547945205479452,0.8284246575342465,0.8455479452054795,0.7784246575342466,0.7797945205479452,0.7678082191780822,0.8075342465753425,0.8325342465753425,0.7811643835616439,0.7599315068493151,0.7719178082191781,0.7732876712328767,0.7613013698630137,0.7917808219178082,0.802054794520548,0.7691780821917809,0.7928082191780822,0.7982876712328767,0.7520547945205479,0.7863013698630137,0.7691780821917809,0.8089041095890411,0.8034246575342465,0.809931506849315,0.8352739726027397,0.8061643835616439,0.7955479452054794,0.7691780821917809
ABC1-Q9RHT2,0.3460207612456747,0.2664359861591695,0.32871972318339104,0.0,0.3460207612456747,0.370242214532872,0.45674740484429066,0.4256055363321799,0.3633217993079585,0.3667820069204152,0.5051903114186851,0.57439446366782,0.6055363321799307,0.6193771626297577,0.6020761245674741,0.5640138408304498,0.6366782006920415,0.615916955017301,0.5951557093425606,0.6560553633217994,0.5363321799307958,0.5640138408304498,0.6020761245674741,0.5986159169550174,0.6124567474048443,0.8653979238754326,0.8346020761245675,0.8346020761245675,0.8920415224913495,0.857439446366782,0.8494809688581315,0.8640138408304499,0.8640138408304499,0.8799307958477509,0.8653979238754326,0.7747404844290657,0.8173010380622837,0.8134948096885813,0.8069204152249135,0.784083044982699,0.8069204152249135,0.7934256055363322,0.773356401384083,0.8280276816608997,0.8256055363321799,0.8280276816608997,0.8335640138408305,0.7813148788927335,0.8200692041522492,0.7602076124567474,0.8335640138408305,0.8373702422145328,0.8242214532871972,0.826643598615917,0.8560553633217993,0.8359861591695502,0.8747404844290657,0.8214532871972318,0.8401384083044983,0.8214532871972318,0.8228373702422145,0.8653979238754326,0.814878892733564,0.7986159169550173,0.8522491349480968,0.8494809688581315,0.8079584775086506,0.7719723183391003,0.8121107266435986,0.8508650519031142,0.8401384083044983,0.8041522491349481,0.826643598615917,0.8560553633217993,0.884083044982699,0.7826989619377163,0.7653979238754325,0.8013840830449828,0.794809688581315,0.7775086505190312,0.8186851211072664,0.7775086505190312,0.7536332179930796,0.8041522491349481,0.7615916955017301,0.7920415224913495,0.8453287197231834,0.7480968858131488,0.7667820069204152,0.7896193771626298,0.7934256055363322,0.7813148788927335,0.7906574394463668,0.7854671280276817,0.8027681660899654,0.773356401384083,0.814878892733564,0.8079584775086506,0.7934256055363322,0.7975778546712803
ABC1-Q9ZG94,0.3529411764705882,0.28719723183391,0.33217993079584773,0.3391003460207612,0.0,0.40484429065743943,0.4221453287197232,0.39446366782006925,0.40830449826989623,0.38754325259515576,0.5294117647058824,0.5916955017301038,0.6020761245674741,0.6602076124567474,0.5986159169550174,0.5674740484429066,0.5847750865051904,0.6539792387543253,0.57439446366782,0.629757785467128,0.5778546712802768,0.6089965397923875,0.5882352941176471,0.6124567474048443,0.6020761245674741,0.8854671280276817,0.8695501730103806,0.8695501730103806,0.8761245674740484,0.8532871972318339,0.8626297577854671,0.8588235294117648,0.8920415224913495,0.914878892733564,0.8467128027681661,0.8013840830449828,0.8079584775086506,0.8013840830449828,0.794809688581315,0.7961937716262976,0.8,0.8214532871972318,0.7975778546712803,0.8588235294117648,0.8027681660899654,0.8027681660899654,0.8186851211072664,0.773356401384083,0.8173010380622837,0.7934256055363322,0.8453287197231834,0.8508650519031142,0.8294117647058824,0.8480968858131488,0.8588235294117648,0.814878892733564,0.8854671280276817,0.8186851211072664,0.8,0.8041522491349481,0.8162629757785467,0.8705882352941177,0.8280276816608997,0.7906574394463668,0.8069204152249135,0.8214532871972318,0.8093425605536332,0.7920415224913495,0.8373702422145328,0.8522491349480968,0.788235294117647,0.8359861591695502,0.8093425605536332,0.8387543252595155,0.7975778546712803,0.7775086505190312,0.7802768166089965,0.8027681660899654,0.814878892733564,0.8173010380622837,0.7975778546712803,0.7986159169550173,0.7667820069204152,0.8162629757785467,0.7546712802768166,0.7868512110726643,0.8467128027681661,0.7719723183391003,0.7415224913494809,0.7826989619377163,0.7681660899653979,0.784083044982699,0.7986159169550173,0.7868512110726643,0.7640138408304498,0.7986159169550173,0.8107266435986159,0.8134948096885813,0.8134948096885813,0.7761245674740485
ABC1-O67184,0.38095238095238093,0.3129251700680272,0.4013605442176871,0.435374149659864,0.4625850340136054,0.0,0.37755102040816324,0.44897959183673475,0.4319727891156463,0.3877551020408163,0.6156462585034014,0.5918367346938775,0.5986394557823129,0.629251700680272,0.5850340136054422,0.5612244897959184,0.5952380952380952,0.5952380952380952,0.5884353741496599,0.6462585034013606,0.5952380952380952,0.5612244897959184,0.6326530612244898,0.6224489795918368,0.629251700680272,0.8768707482993197,0.8295918367346938,0.8295918367346938,0.8846938775510205,0.8520408163265306,0.8704081632653061,0.8874149659863946,0.8993197278911564,0.8782312925170068,0.8768707482993197,0.808843537414966,0.8217687074829932,0.7918367346938775,0.7734693877551021,0.7891156462585034,0.7931972789115647,0.8125850340136054,0.8180272108843537,0.832312925170068,0.8258503401360544,0.795578231292517,0.8010204081632653,0.8020408163265306,0.7850340136054421,0.7850340136054421,0.8153061224489796,0.8363945578231292,0.7799319727891156,0.8336734693877551,0.8231292517006803,0.8374149659863945,0.8571428571428572,0.808843537414966,0.8479591836734693,0.8204081632653062,0.8479591836734693,0.8455782312925171,0.8350340136054422,0.8010204081632653,0.8465986394557823,0.7840136054421769,0.7904761904761904,0.7537414965986394,0.8139455782312925,0.8180272108843537,0.8193877551020408,0.8455782312925171,0.808843537414966,0.8204081632653062,0.8309523809523809,0.7380952380952381,0.7459183673469387,0.7302721088435374,0.7248299319727891,0.7486394557823128,0.7459183673469387,0.7404761904761905,0.7486394557823128,0.7918367346938775,0.7496598639455783,0.7812925170068027,0.7799319727891156,0.7602040816326531,0.7431972789115646,0.7615646258503401,0.7445578231292518,0.7197278911564626,0.7537414965986394,0.7340136054421769,0.7812925170068027,0.7615646258503401,0.7840136054421769,0.7734693877551021,0.7707482993197279,0.7459183673469387
ABC1-Q9Z3C5,0.3890784982935154,0.31399317406143346,0.3686006825938567,0.4709897610921502,0.4368600682593856,0.31740614334470985,0.0,0.41979522184300344,0.4812286689419796,0.3583617747440273,0.6177474402730375,0.6552901023890785,0.5870307167235496,0.6699658703071671,0.6143344709897611,0.658703071672355,0.5938566552901023,0.6552901023890785,0.5972696245733788,0.6348122866894198,0.5767918088737201,0.6484641638225256,0.5938566552901023,0.6382252559726962,0.6109215017064846,0.8815699658703071,0.8856655290102389,0.8856655290102389,0.9040955631399318,0.9040955631399318,0.8897610921501706,0.910580204778157,0.921160409556314,0.9119453924914676,0.8805460750853242,0.842320819112628,0.8368600682593856,0.7819112627986349,0.81740614334471,0.8013651877133106,0.7948805460750853,0.8266211604095564,0.8368600682593856,0.8778156996587031,0.7935153583617748,0.8607508532423208,0.842320819112628,0.8331058020477815,0.8238907849829351,0.798976109215017,0.8266211604095564,0.842320819112628,0.8279863481228669,0.8607508532423208,0.8344709897610921,0.8645051194539249,0.875085324232082,0.8436860068259386,0.856655290102389,0.8474402730375427,0.842320819112628,0.8723549488054607,0.846075085324232,0.810580204778157,0.8713310580204778,0.8450511945392492,0.8013651877133106,0.7976109215017064,0.8013651877133106,0.821160409556314,0.8607508532423208,0.8515358361774744,0.8331058020477815,0.8238907849829351,0.863481228668942,0.8040955631399318,0.7856655290102389,0.8054607508532423,0.7948805460750853,0.81740614334471,0.8279863481228669,0.8027303754266212,0.7699658703071672,0.8133105802047782,0.798976109215017,0.8146757679180887,0.8197952218430035,0.8054607508532423,0.7726962457337885,0.7976109215017064,0.7843003412969283,0.8119453924914676,0.810580204778157,0.8013651877133106,0.8068259385665529,0.8119453924914676,0.8368600682593856,0.8040955631399318,0.7948805460750853,0.7699658703071672
ABC1-O05693,0.41355932203389834,0.3762711864406779,0.4101694915254237,0.4542372881355933,0.41355932203389834,0.41694915254237286,0.41694915254237286,0.0,0.4576271186440678,0.3966101694915254,0.5898305084745763,0.6203389830508474,0.6135593220338983,0.691864406779661,0.6406779661016949,0.6338983050847458,0.5864406779661018,0.6644067796610169,0.6101694915254237,0.6372881355932203,0.6135593220338983,0.6,0.5966101694915253,0.6101694915254237,0.6372881355932203,0.88,0.8722033898305085,0.8722033898305085,0.9006779661016949,0.8969491525423728,0.8722033898305085,0.8745762711864407,0.9061016949152543,0.9176271186440678,0.8708474576271186,0.8393220338983051,0.8016949152542373,0.8301694915254237,0.8223728813559322,0.7976271186440678,0.7925423728813559,0.8186440677966101,0.8315254237288136,0.8942372881355932,0.8016949152542373,0.8471186440677966,0.88,0.8291525423728814,0.8393220338983051,0.8145762711864406,0.8603389830508474,0.8552542372881355,0.864406779661017,1.0,0.8891525423728813,0.8328813559322034,0.9047457627118644,0.864406779661017,0.7871186440677966,0.8159322033898305,0.7989830508474576,0.8772881355932203,0.8315254237288136,0.8040677966101695,0.8003389830508475,0.8498305084745763,0.8447457627118644,0.8210169491525424,0.8223728813559322,0.8732203389830508,0.8484745762711865,0.8525423728813559,0.8759322033898305,0.8328813559322034,0.8484745762711865,0.7949152542372881,0.8040677966101695,0.823728813559322,0.8511864406779661,0.8511864406779661,0.8433898305084746,0.808135593220339,0.7833898305084745,0.8277966101694916,0.8094915254237288,0.868135593220339,0.8732203389830508,0.8094915254237288,0.808135593220339,0.7898305084745763,0.8108474576271186,0.8328813559322034,0.8264406779661017,0.8369491525423729,0.8027118644067797,0.8484745762711865,0.8447457627118644,0.840677966101695,0.8186440677966101,0.7857627118644068
ABC1-P23596,0.42320819112627983,0.32764505119453924,0.3720136518771331,0.3686006825938567,0.41296928327645055,0.3720136518771331,0.4709897610921502,0.447098976109215,0.0,0.447098976109215,0.5733788395904437,0.6040955631399317,0.621160409556314,0.621160409556314,0.6075085324232081,0.5767918088737201,0.5597269624573379,0.6416382252559727,0.5870307167235496,0.6245733788395904,0.5938566552901023,0.6040955631399317,0.5972696245733788,0.5870307167235496,0.6245733788395904,0.8658703071672356,0.8552901023890785,0.8552901023890785,0.8856655290102389,0.8658703071672356,0.8450511945392492,0.8593856655290102,0.8843003412969284,0.8907849829351536,0.8515358361774744,0.8054607508532423,0.8003412969283277,0.8027303754266212,0.8013651877133106,0.7778156996587031,0.8027303754266212,0.8409556313993174,0.8027303754266212,0.8450511945392492,0.8279863481228669,0.8450511945392492,0.8013651877133106,0.7962457337883959,0.8133105802047782,0.7713310580204779,0.8225255972696246,0.8368600682593856,0.8225255972696246,0.8542662116040955,0.8764505119453925,0.8068259385665529,0.8593856655290102,0.8290102389078499,0.7750853242320819,0.8095563139931741,0.7870307167235495,0.8488054607508533,0.8040955631399318,0.7805460750853243,0.7924914675767918,0.8146757679180887,0.8450511945392492,0.7450511945392491,0.8252559726962457,0.8515358361774744,0.852901023890785,0.8252559726962457,0.8450511945392492,0.8474402730375427,0.8450511945392492,0.7726962457337885,0.7778156996587031,0.7832764505119454,0.8013651877133106,0.81740614334471,0.8040955631399318,0.7580204778156996,0.7713310580204779,0.7870307167235495,0.7778156996587031,0.7819112627986349,0.8146757679180887,0.7856655290102389,0.7621160409556313,0.7962457337883959,0.7856655290102389,0.7764505119453925,0.7726962457337885,0.7672354948805461,0.81740614334471,0.7924914675767918,0.8266211604095564,0.8027303754266212,0.7897610921501707,0.7805460750853243
ABC1-O85350,0.4338983050847458,0.3593220338983051,0.41355932203389834,0.45084745762711864,0.4576271186440678,0.38983050847457623,0.4203389830508475,0.43050847457627117,0.5186440677966102,0.0,0.6271186440677966,0.6135593220338983,0.5898305084745763,0.6840677966101695,0.5864406779661018,0.6135593220338983,0.6372881355932203,0.6169491525423729,0.5830508474576271,0.688135593220339,0.5796610169491525,0.5966101694915253,0.6271186440677966,0.6338983050847458,0.5932203389830508,0.8969491525423728,0.88,0.88,0.8772881355932203,0.9047457627118644,0.8786440677966102,1.0,0.9257627118644067,0.8983050847457628,0.8786440677966102,0.8264406779661017,0.8210169491525424,0.8172881355932203,0.8094915254237288,0.808135593220339,0.8003389830508475,0.811864406779661,0.7938983050847458,0.8447457627118644,0.8003389830508475,0.8433898305084746,0.8186440677966101,0.8094915254237288,0.8393220338983051,0.8094915254237288,0.8498305084745763,0.8630508474576271,0.8420338983050848,0.8420338983050848,0.864406779661017,0.8369491525423729,0.88,0.8616949152542372,0.8667796610169491,0.868135593220339,0.8461016949152542,0.8905084745762712,0.8094915254237288,0.8250847457627118,0.8745762711864407,0.8379661016949153,0.8538983050847457,0.811864406779661,0.8484745762711865,0.8694915254237288,0.8552542372881355,0.8328813559322034,0.8264406779661017,0.8433898305084746,0.8823728813559322,0.8145762711864406,0.7820338983050847,0.8328813559322034,0.8172881355932203,0.8277966101694916,0.8250847457627118,0.7938983050847458,0.8040677966101695,0.8315254237288136,0.7949152542372881,0.8067796610169491,0.8355932203389831,0.8067796610169491,0.7938983050847458,0.8264406779661017,0.7884745762711864,0.8315254237288136,0.8040677966101695,0.7989830508474576,0.8003389830508475,0.8145762711864406,0.8461016949152542,0.8094915254237288,0.8355932203389831,0.7898305084745763
